signal_id,symbol,date,signal,actual
aay98wdchw89e,AAPL,2017-04-12,-0.001985,-0.006803
bay986dchw89e,IBM,2017-04-22,0.006992,0.007842
cay984dchw89e,FB,2017-06-11,-0.003918,-0.005233
day981dchw89e,MSFT,2018-04-14,0.008481,0.007092
eay98wdchw89e,TSLA,2017-10-29,-0.010206,-0.013082
fay986dchw89e,AAPL,2017-07-11,0.009901,0.004978
gay984dchw89e,IBM,2017-07-21,-0.014255,-0.003448
hay981dchw89e,FB,2017-09-09,0.000873,0.001687
iay98wdchw89e,MSFT,2018-07-13,-0.010933,-0.009045
jay986dchw89e,TSLA,2018-01-27,0.005901,0.008377
kay984dchw89e,AAPL,2017-10-09,-0.00472,-0.016585
lay981dchw89e,IBM,2017-10-19,0.00961,0.006551
may98wdchw89e,FB,2017-12-08,-0.015593,-0.012878
nay986dchw89e,MSFT,2018-10-11,0.013228,0.017855
oay984dchw89e,TSLA,2018-04-27,-0.003087,-0.000179
pay981dchw89e,AAPL,2018-01-07,0.011653,0.004344
qay98wdchw89e,IBM,2018-01-17,-0.001417,-0.000892
ray986dchw89e,FB,2018-03-08,0.000537,0.005594
say984dchw89e,MSFT,2019-01-09,-0.010957,-0.016197
tay981dchw89e,TSLA,2018-07-26,0.013485,0.009657
uay98wdchw89e,AAPL,2018-04-07,-0.014033,-0.005328
vay986dchw89e,IBM,2018-04-17,0.015143,0.015621
way984dchw89e,FB,2018-06-06,-0.007486,-0.011871
xay981dchw89e,MSFT,2019-04-09,0.005695,0.001276
yay98wdchw89e,TSLA,2018-10-24,-0.010118,-0.011193
zay986dchw89e,AAPL,2018-07-06,0.004431,0.001634
aby984dchw89e,IBM,2018-07-16,-0.01768,-0.00543
acy981dchw89e,FB,2018-09-04,0.013485,0.015333
ady98wdchw89e,MSFT,2019-07-08,-0.016608,-0.001347
aey986dchw89e,TSLA,2019-01-22,0.001053,0.005727